Обычный','Королевства Севера','VeiledBrit','Королевства Севера','Победа','2:0
Обычный','Королевства Севера','Igmehbartolomew','Скеллиге','Поражение','1:2
Обычный','Королевства Севера','buncolgit','Нильфгаард','Победа','2:0
Обычный','Королевства Севера','Johnsonzxc','Королевства Севера','Победа','2:0
Обычный','Королевства Севера','Mazther0990','Нильфгаард','Победа','2:0
Обычный','Королевства Севера','Backs-91','Нильфгаард','Победа','2:0
Обычный','Королевства Севера','muchador','Нильфгаард','Победа','2:1
Обычный','Королевства Севера','Dornelli2','Королевства Севера','Победа','2:1
Обычный','Королевства Севера','Kroaton485','Королевства Севера','Победа','2:1
Обычный','Королевства Севера','pejako','Королевства Севера','Победа','2:0
Обычный','Королевства Севера','Inelope','Скеллиге','Победа','2:0
Обычный','Синдикат','CirithewhiteWolf','Нильфгаард','Поражение','1:2
Обычный','Скоя’таэли','Sl2ai','Нильфгаард','Поражение','1:2
Обычный','Королевства Севера','Sweaty_Richards','Королевства Севера','Победа','2:1
Обычный','Королевства Севера','Anytime','Скоя’таэли','Победа','2:0
Обычный','Королевства Севера','Nata_belka','Нильфгаард','Победа','2:1
Обычный','Королевства Севера','Snowdrop911','Скоя’таэли','Победа','2:0
Обычный','Королевства Севера','MaxSander81','Королевства Севера','Победа','2:0
Обычный','Нильфгаард','viktorrus223','Скеллиге','Победа','2:0
Обычный','Нильфгаард','ortokot','Синдикат','Поражение','1:2
Обычный','Нильфгаард','ConnorVeach','Нильфгаард','Поражение','1:2
Обычный','Нильфгаард','Dagabulya20','Скеллиге','Победа','2:0
Обычный','Нильфгаард','Utaii','Нильфгаард','Победа','2:0
Обычный','Нильфгаард','RoLiKR','Королевства Севера','Победа','2:1
Обычный','Нильфгаард','Ahmad90z','Чудовища','Победа','2:0
Обычный','Нильфгаард','Dozer-r-r','Нильфгаард','Победа','2:0
Обычный','Нильфгаард','Gelu247','Нильфгаард','Поражение','1:2
Обычный','Нильфгаард','TYLKONEVA','Чудовища','Победа','2:0
Обычный','Нильфгаард','g0m3z_4dd4m5','Скоя’таэли','Победа','2:1
Обычный','Нильфгаард','KyKoJIka-DS','Скоя’таэли','Победа','2:0
Обычный','Нильфгаард','Lis73','Скоя’таэли','Победа','2:0
Обычный','Нильфгаард','jeremydo77','Королевства Севера','Победа','2:1
Обычный','Нильфгаард','baybaaal','Королевства Севера','Победа','2:0
Обычный','Нильфгаард','KenaJHermes','Скоя’таэли','Победа','2:0
Обычный','Нильфгаард','CalebMitchell','Нильфгаард','Победа','2:0
Обычный','Нильфгаард','SergioBesov','Нильфгаард','Победа','2:0
Обычный','Нильфгаард','dirtybird1990','Нильфгаард','Победа','2:0
Обычный','Нильфгаард','Jeckyll.MD','Нильфгаард','Победа','2:0
Обычный','Нильфгаард','Legendary7','Синдикат','Поражение','0:2
Обычный','Нильфгаард','gagogoko98','Королевства Севера','Победа','2:0
Обычный','Нильфгаард','SawDom','Королевства Севера','Поражение','1:2
Обычный','Нильфгаард','VIDOCQUE','Чудовища','Победа','2:0
Обычный','Нильфгаард','MrMignum','Скеллиге','Поражение','1:2
Обычный','Нильфгаард','savinogradov','Скеллиге','Победа','2:0
Обычный','Нильфгаард','zireal1','Скеллиге','Победа','2:0
Обычный','Нильфгаард','MisterShojin','Синдикат','Победа','2:0
Обычный','Нильфгаард','vshivambatshiputra','Нильфгаард','Победа','2:0
Обычный','Нильфгаард','cheetos88','Нильфгаард','Поражение','1:2
Обычный','Нильфгаард','RedbladeX','Скеллиге','Победа','2:1
Обычный','Нильфгаард','Gru13','Нильфгаард','Победа','2:0
Обычный','Нильфгаард','BatkaMakhno','Королевства Севера','Победа','2:1
Обычный','Нильфгаард','serkefir','Нильфгаард','Победа','2:1
Обычный','Нильфгаард','ShapKing','Скеллиге','Поражение','0:2
Обычный','Нильфгаард','Specht2','Королевства Севера','Победа','2:0
Обычный','Нильфгаард','Cronya_cosplay','Королевства Севера','Победа','2:0
Обычный','Нильфгаард','Fenrir-Kent','Скеллиге','Победа','2:0
Обычный','Нильфгаард','Chity9','Скоя’таэли','Победа','2:0
Обычный','Нильфгаард','martinez980','Нильфгаард','Победа','2:0
Обычный','Нильфгаард','Rapyan','Скоя’таэли','Победа','2:0
Обычный','Скоя’таэли','Amosx','Королевства Севера','Победа','2:1
Обычный','Скоя’таэли','創空','Нильфгаард','Поражение','1:2
Обычный','Скоя’таэли','kamios','Скоя’таэли','Победа','2:0
Обычный','Королевства Севера','Enotys','Скоя’таэли','Победа','2:0
Обычный','Королевства Севера','Kise_','Синдикат','Победа','2:0
Обычный','Синдикат','Predator62Rus','Синдикат','Поражение','1:2
Обычный','Синдикат','bulbarash','Нильфгаард','Победа','2:0
Обычный','Нильфгаард','Cervalios','Нильфгаард','Победа','2:0
Обычный','Нильфгаард','Luke__New','Королевства Севера','Победа','2:0
Обычный','Нильфгаард','1569','Чудовища','Победа','2:0
Обычный','Нильфгаард','OswaldGreen','Нильфгаард','Победа','2:0
Обычный','Нильфгаард','Sileniya','Синдикат','Победа','2:0
Обычный','Нильфгаард','KunoKuno','Нильфгаард','Победа','2:1
Обычный','Нильфгаард','Heisenberg48','Нильфгаард','Победа','2:0
Обычный','Нильфгаард','Andrus1971','Чудовища','Поражение','0:2
Обычный','Нильфгаард','NotRincewind','Чудовища','Победа','2:1
Обычный','Нильфгаард','l8lkalel','Королевства Севера','Победа','2:0
